2theta,simulated,2theta,real copy,2theta,real
13.62,38.0625,11.4929,2001.759,11.4929,2001.759
13.64,39.9521,11.5149,2025.699,11.5149,2025.699
13.66,41.9036,11.5369,2024.696,11.5369,2024.696
13.68,44.0041,11.5589,1967.012,11.5589,1967.012
13.7,46.2698,11.5809,2012.434,11.5809,2012.434
13.72,48.7186,11.6029,2054.288,11.6029,2054.288
13.74,51.3712,11.6249,1965.139,11.6249,1965.139
13.76,54.2514,11.6469,1932.445,11.6469,1932.445
13.78,57.3866,11.6689,2003.184,11.6689,2003.184
13.8,60.8084,11.6909,2024.615,11.6909,2024.615
13.82,64.5539,11.7129,1992.084,11.7129,1992.084
13.84,68.6661,11.7349,1959.51,11.7349,1959.51
13.86,73.1959,11.7569,1967.463,11.7569,1967.463
13.88,78.2034,11.7789,1997.602,11.7789,1997.602
13.9,83.7603,11.8009,1990.219,11.8009,1990.219
13.92,89.9525,11.8229,1970.445,11.8229,1970.445
13.94,96.8839,11.8449,1941.366,11.8449,1941.366
13.96,104.681,11.8669,1943.928,11.8669,1943.928
13.98,113.5,11.8889,1961.44,11.8889,1961.44
14.0,123.535,11.9109,1928.947,11.9109,1928.947
14.02,135.028,11.9329,1959.178,11.9329,1959.178
14.04,148.289,11.9549,1996.889,11.9549,1996.889
14.06,163.715,11.9769,1998.839,11.9769,1998.839
14.08,181.828,11.9989,2025.366,11.9989,2025.366
14.1,203.319,12.0209,2027.597,12.0209,2027.597
14.12,229.123,12.0429,1973.46,12.0429,1973.46
14.14,260.536,12.0649,1975.851,12.0649,1975.851
14.16,299.386,12.0869,2024.577,12.0869,2024.577
14.18,348.339,12.1089,2002.221,12.1089,2002.221
14.2,411.447,12.1309,2060.428,12.1309,2060.428
14.22,495.312,12.1529,2096.338,12.1529,2096.338
14.24,611.848,12.1749,2070.611,12.1749,2070.611
14.26,784.374,12.1969,2106.972,12.1969,2106.972
14.28,1057.94,12.2189,2121.673,12.2189,2121.673
14.3,1508.9,12.2409,2068.211,12.2409,2068.211
14.32,2238.19,12.2629,2037.086,12.2629,2037.086
14.34,3313.22,12.2849,2069.256,12.2849,2069.256
14.36,4542.73,12.3069,2021.071,12.3069,2021.071
14.38,5117.25,12.3289,1995.648,12.3289,1995.648
14.4,4471.48,12.3509,2004.875,12.3509,2004.875
14.42,3384.31,12.3729,1970.124,12.3729,1970.124
14.44,2560.98,12.3949,2010.487,12.3949,2010.487
14.46,2135.89,12.4169,2029.509,12.4169,2029.509
14.48,2074.43,12.4389,2007.047,12.4389,2007.047
14.5,2372.02,12.4609,1964.279,12.4609,1964.279
14.52,3116.7,12.4829,1974.011,12.4829,1974.011
14.54,4476.38,12.5049,2001.159,12.5049,2001.159
14.56,6565.62,12.5269,1974.371,12.5269,1974.371
14.58,8967.8,12.5489,1977.099,12.5489,1977.099
14.6,10000.0,12.5709,2007.69,12.5709,2007.69
14.62,8472.82,12.5929,1965.4,12.5929,1965.4
14.64,5964.99,12.6149,2099.643,12.6149,2099.643
14.66,3921.94,12.6369,2007.04,12.6369,2007.04
14.68,2579.31,12.6589,1903.215,12.6589,1903.215
14.7,1766.62,12.6809,2016.223,12.6809,2016.223
14.72,1281.12,12.7029,2027.814,12.7029,2027.814
