№	Полож. [°2θ]	Iнабл [имп]	Iрассчетн [имп]	Iзадн [имп]	ПСО	Межплоскостное расстояние D	ВП [с]
582	14.7929	2314.8590			48.1130	5.9837	97.9200
583	14.8149	2438.9670			49.3859	5.9748	97.9200
584	14.8369	2361.1360			48.5915	5.9660	97.9200
585	14.8589	2416.9000			49.1620	5.9572	97.9200
586	14.8809	2552.5270			50.5225	5.9485	97.9200
587	14.9029	2525.9980			50.2593	5.9397	97.9200
588	14.9249	2463.4300			49.6329	5.9310	97.9200
589	14.9469	2452.2800			49.5205	5.9223	97.9200
590	14.9689	2379.0710			48.7757	5.9137	97.9200
591	14.9909	2295.0760			47.9069	5.9051	97.9200
592	15.0129	2326.6800			48.2357	5.8965	97.9200
593	15.0349	2328.8020			48.2577	5.8879	97.9200
594	15.0569	2372.2820			48.7061	5.8793	97.9200
595	15.0789	2465.7700			49.6565	5.8708	97.9200
596	15.1009	2547.9330			50.4771	5.8623	97.9200
597	15.1229	2635.9670			51.3417	5.8538	97.9200
598	15.1449	2746.6640			52.4086	5.8454	97.9200
599	15.1669	2840.3990			53.2954	5.8369	97.9200
600	15.1889	2911.8890			53.9619	5.8285	97.9200
601	15.2109	3070.2360			55.4097	5.8201	97.9200
602	15.2329	3167.9020			56.2841	5.8118	97.9200
603	15.2549	3382.8080			58.1619	5.8035	97.9200
604	15.2769	3623.4120			60.1948	5.7952	97.9200
605	15.2989	3801.9220			61.6597	5.7869	97.9200
606	15.3209	3835.0900			61.9281	5.7786	97.9200
607	15.3429	3778.8230			61.4721	5.7704	97.9200
608	15.3649	3809.7410			61.7231	5.7622	97.9200
609	15.3869	3954.4570			62.8845	5.7540	97.9200
610	15.4089	4222.5430			64.9811	5.7458	97.9200
611	15.4309	4676.6980			68.3864	5.7377	97.9200
612	15.4529	5119.4030			71.5500	5.7295	97.9200
613	15.4749	5701.4790			75.5081	5.7214	97.9200
614	15.4969	6606.4690			81.2802	5.7134	97.9200
615	15.5189	7577.1710			87.0469	5.7053	97.9200
616	15.5409	8538.1970			92.4024	5.6973	97.9200
617	15.5629	9560.7110			97.7789	5.6893	97.9200
618	15.5849	10793.1600			103.8902	5.6813	97.9200
619	15.6069	12098.0300			109.9910	5.6734	97.9200
620	15.6289	13735.7900			117.1998	5.6654	97.9200
621	15.6509	15731.9700			125.4271	5.6575	97.9200
622	15.6729	18241.3500			135.0606	5.6496	97.9200
623	15.6949	20560.0000			143.3876	5.6417	97.9200
624	15.7169	21151.1900			145.4345	5.6339	97.9200
625	15.7389	18471.4900			135.9099	5.6261	97.9200
626	15.7609	13989.6200			118.2777	5.6183	97.9200
627	15.7829	9614.9060			98.0556	5.6105	97.9200
628	15.8049	6597.5550			81.2253	5.6027	97.9200
629	15.8269	4948.3650			70.3446	5.5950	97.9200
630	15.8489	4093.5260			63.9807	5.5873	97.9200
631	15.8709	3529.9110			59.4131	5.5796	97.9200
632	15.8929	3177.3490			56.3680	5.5719	97.9200
633	15.9149	2936.2840			54.1875	5.5642	97.9200
634	15.9369	2776.5470			52.6930	5.5566	97.9200
635	15.9589	2681.0130			51.7785	5.5490	97.9200
636	15.9809	2677.6820			51.7463	5.5414	97.9200
637	16.0029	2445.6720			49.4537	5.5338	97.9200
638	16.0249	2402.1230			49.0115	5.5263	97.9200
639	16.0469	2335.8230			48.3304	5.5188	97.9200
640	16.0689	2361.4290			48.5945	5.5113	97.9200
641	16.0909	2342.8780			48.4033	5.5038	97.9200
642	16.1129	2283.6500			47.7876	5.4963	97.9200
643	16.1349	2212.7490			47.0399	5.4889	97.9200
644	16.1569	2300.7340			47.9660	5.4814	97.9200
645	16.1789	2330.2240			48.2724	5.4740	97.9200
646	16.2009	2180.7800			46.6988	5.4667	97.9200
647	16.2229	2223.5210			47.1542	5.4593	97.9200
648	16.2449	2246.9990			47.4025	5.4519	97.9200
649	16.2669	2233.5310			47.2602	5.4446	97.9200
650	16.2889	2195.8780			46.8602	5.4373	97.9200
651	16.3109	2189.0650			46.7874	5.4300	97.9200
652	16.3329	2155.9390			46.4321	5.4228	97.9200
653	16.3549	2114.9720			45.9888	5.4155	97.9200
654	16.3769	2112.8440			45.9657	5.4083	97.9200
655	16.3989	2111.1800			45.9476	5.4011	97.9200
656	16.4209	2212.8100			47.0405	5.3939	97.9200
657	16.4429	2149.0980			46.3584	5.3867	97.9200
658	16.4649	2093.4070			45.7538	5.3796	97.9200
659	16.4869	2126.8510			46.1178	5.3725	97.9200
660	16.5089	2162.1100			46.4985	5.3654	97.9200
661	16.5309	2119.9060			46.0424	5.3583	97.9200
662	16.5529	2137.4880			46.2330	5.3512	97.9200
663	16.5749	2144.3390			46.3070	5.3441	97.9200
664	16.5969	2082.6610			45.6362	5.3371	97.9200
665	16.6189	2118.3860			46.0259	5.3301	97.9200
666	16.6409	2122.1160			46.0664	5.3231	97.9200
667	16.6629	2045.0350			45.2221	5.3161	97.9200
668	16.6849	2004.7270			44.7742	5.3091	97.9200
669	16.7069	2052.8340			45.3082	5.3022	97.9200
670	16.7289	2120.4540			46.0484	5.2953	97.9200
671	16.7509	2129.8900			46.1507	5.2884	97.9200
672	16.7729	2104.8070			45.8782	5.2815	97.9200
673	16.7949	2099.6430			45.8219	5.2746	97.9200
674	16.8169	2124.0190			46.0871	5.2678	97.9200
675	16.8389	2133.8600			46.1937	5.2609	97.9200
676	16.8609	2199.0000			46.8935	5.2541	97.9200
677	16.8829	2171.5210			46.5996	5.2473	97.9200
